Regiao;Estado;Municipio;Revenda;CNPJ;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;SAO PAULO;CENTURY AUTO POSTO LTDA; 06.050.817/0001-50;GASOLINA;02/01/2025;6,19;VIBRA
SE;SP;SAO PAULO;CENTURY AUTO POSTO LTDA; 06.050.817/0001-50;DIESEL S10;02/01/2025;6,59;VIBRA
SE;SP;SAO PAULO;CENTURY AUTO POSTO LTDA; 06.050.817/0001-50;ETANOL;02/01/2025;4,19;VIBRA
SE;SP;SAO PAULO;AUTO POSTO EVOLUTION LTDA; 06.067.089/0001-90;GASOLINA;02/01/2025;5,79;BRANCA
SE;SP;SAO PAULO;AUTO POSTO EVOLUTION LTDA; 06.067.089/0001-90;DIESEL S10;02/01/2025;5,99;BRANCA
SE;SP;SAO PAULO;AUTO POSTO EVOLUTION LTDA; 06.067.089/0001-90;ETANOL;02/01/2025;3,99;BRANCA
SE;SP;SAO PAULO;BELLA LUNA CENTRO AUTOMOTIVO LTDA.; 05.243.578/0001-92;GASOLINA;02/01/2025;6,09;RAIZEN
SE;SP;SAO PAULO;BELLA LUNA CENTRO AUTOMOTIVO LTDA.; 05.243.578/0001-92;DIESEL S10;02/01/2025;6,29;RAIZEN
SE;SP;SAO PAULO;BELLA LUNA CENTRO AUTOMOTIVO LTDA.; 05.243.578/0001-92;ETANOL;02/01/2025;4,09;RAIZEN
SE;SP;SAO PAULO;AUTO POSTO MELLO PEIXOTO LTDA.; 06.000.230/0001-37;GASOLINA;02/01/2025;5,77;BRANCA
SE;SP;SAO PAULO;AUTO POSTO MELLO PEIXOTO LTDA.; 06.000.230/0001-37;DIESEL S10;02/01/2025;5,97;BRANCA
SE;SP;SAO PAULO;AUTO POSTO MELLO PEIXOTO LTDA.; 06.000.230/0001-37;ETANOL;02/01/2025;3,77;BRANCA
SE;SP;SAO PAULO;AUTO POSTO ARINELLA BELEM LTDA; 04.717.442/0001-04;GASOLINA;02/01/2025;6,39;RAIZEN
SE;SP;SAO PAULO;AUTO POSTO ARINELLA BELEM LTDA; 04.717.442/0001-04;DIESEL S10;02/01/2025;7,89;RAIZEN
SE;SP;SAO PAULO;AUTO POSTO ARINELLA BELEM LTDA; 04.717.442/0001-04;ETANOL;02/01/2025;4,39;RAIZEN
SE;SP;SAO PAULO;AUTO POSTO VIA BRESSER LTDA; 04.347.903/0001-02;DIESEL S10;02/01/2025;5,89;BRANCA
SE;SP;SAO PAULO;AUTO POSTO VIA BRESSER LTDA; 04.347.903/0001-02;ETANOL;02/01/2025;3,69;BRANCA
SE;SP;SAO PAULO;AUTO POSTO VIA BRESSER LTDA; 04.347.903/0001-02;GASOLINA;02/01/2025;5,57;BRANCA
SE;SP;SAO PAULO;PIU PIU AUTO CENTER LTDA; 03.960.084/0001-01;GASOLINA;02/01/2025;5,78;IPIRANGA
SE;SP;SAO PAULO;PIU PIU AUTO CENTER LTDA; 03.960.084/0001-01;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;SAO PAULO;TCENTRO AUTOMOTIVO FENIX LTDA; 00.533.599/0001-29;GASOLINA;02/01/2025;6,19;IPIRANGA
SE;SP;SAO PAULO;TCENTRO AUTOMOTIVO FENIX LTDA; 00.533.599/0001-29;DIESEL S10;02/01/2025;6,59;IPIRANGA
SE;SP;SAO PAULO;TCENTRO AUTOMOTIVO FENIX LTDA; 00.533.599/0001-29;ETANOL;02/01/2025;4,19;IPIRANGA
SE;SP;CAMPINAS;POSTO ABOLICAO LTDA; 01.665.604/0001-10;GASOLINA;02/01/2025;5,89;BRANCA
SE;SP;CAMPINAS;POSTO ABOLICAO LTDA; 01.665.604/0001-10;DIESEL S10;02/01/2025;5,99;BRANCA
SE;SP;CAMPINAS;POSTO ABOLICAO LTDA; 01.665.604/0001-10;ETANOL;02/01/2025;3,89;BRANCA
SE;SP;CAMPINAS;JULIO FERNANDES & CIA LTDA; 46.021.523/0001-15;GASOLINA;02/01/2025;5,89;IPIRANGA
SE;SP;CAMPINAS;JULIO FERNANDES & CIA LTDA; 46.021.523/0001-15;DIESEL S10;02/01/2025;5,89;IPIRANGA
SE;SP;CAMPINAS;JULIO FERNANDES & CIA LTDA; 46.021.523/0001-15;ETANOL;02/01/2025;3,89;IPIRANGA
SE;SP;CAMPINAS;POSTO ECO-2000 LTDA; 68.077.981/0001-09;GASOLINA;02/01/2025;5,79;IPIRANGA
SE;SP;CAMPINAS;POSTO ECO-2000 LTDA; 68.077.981/0001-09;DIESEL S10;02/01/2025;5,99;IPIRANGA
